1779993956,4.9026,0.0000,-7991,2.1400,337500,0,0.0000,0.4400
1779993961,2.4427,0.0000,-7996,3.6400,337500,0,0.0000,0.4000
1779993966,2.6769,0.0000,-7981,0.8800,337500,0,0.0000,0.3700
1779993971,2.3937,0.0000,-7982,4.9200,337500,0,0.0000,0.3400
1779993976,2.2434,0.0000,-7996,10.9600,337500,0,0.0000,0.3100
1779993981,2.3411,0.0000,-8005,0.2200,337500,0,0.0000,0.2900
1779993986,2.2070,0.0000,-7991,3.6800,337500,0,0.0000,0.2600
1779993991,15.9175,0.0000,-7936,3.2000,337500,0,0.0000,1.2000
1779993996,5.9661,0.0000,-7942,2.3000,337500,0,0.0000,1.1100
1779994001,2.1772,0.0000,-7967,4.3400,337500,0,0.0000,1.1000
1779994006,2.9781,0.0000,-7914,0.5400,337500,0,0.0000,1.0900
1779994011,2.2754,0.0000,-7945,3.3400,337500,0,0.0000,1.0000
1779994016,2.0917,0.0000,-7966,2.6000,337500,0,0.0000,0.9200
1779994021,8.3192,0.0000,-7971,3.9800,337500,0,0.0000,0.8500
1779994026,4.7966,0.0000,-8006,1.0800,337500,0,0.0000,0.7800
1779994032,15.1525,0.0000,-8015,3.8200,337500,0,0.0000,0.7200
1779994036,18.8861,0.0000,-8012,2.6600,337500,0,0.0000,0.7400
1779994051,3.5937,49.3051,-8012,2.6600,337500,0,0.0000,0.7400
1779994055,14.9398,0.0000,-7971,6.3800,337501,0,0.0000,0.5300
1779994061,8.2076,0.0000,-7963,0.8800,337501,0,0.0000,0.5700
1779994066,5.6791,0.0000,-7896,3.4800,337501,0,0.0000,0.5200
1779994071,3.0288,0.0000,-7913,12.5800,337501,0,0.0000,0.4800
1779994076,2.3264,0.0000,-7919,2.1800,337501,0,0.0000,0.4400
1779994081,3.5326,0.0000,-7942,1.9200,337500,0,0.0000,0.4100
1779994086,2.4586,0.0000,-7951,5.7800,337500,0,0.0000,0.3700
1779994091,2.5435,0.0000,-7951,2.4600,337500,0,0.0000,0.3400
1779994122,13.8054,0.0000,-7894,4.6000,337500,0,0.0000,1.1700
1779994127,3.8987,0.0000,-7992,8.5600,337500,0,0.0000,1.0800
1779994132,5.9865,0.0000,-7974,0.4400,337500,0,0.0000,0.9900
1779994137,3.4819,0.0000,-7987,0.8600,337500,0,0.0000,0.9100
1779994142,2.2952,0.0000,-8001,4.4000,337500,0,0.0000,0.8400
1779994147,2.4925,0.0000,-7984,0.4600,337501,0,0.0000,0.7700
1779995339,3.6631,49.6940,0,0.0000,0,0,0.0000,0.0000
1779995344,5.8051,49.6175,7783,7.1200,337812,0,0.0000,2.0600
1779995349,10.5155,49.5601,7774,2.6000,337812,0,0.0000,2.8500
1779995354,4.1912,49.5346,7770,1.1000,337812,0,0.0000,2.6200
1779995360,5.2155,49.5665,7775,0.6400,337812,0,0.0000,2.4900
1779995364,6.3400,49.2796,7730,0.3200,337812,0,0.0000,2.4500
1779995370,6.7122,49.2605,7727,0.4400,337812,0,0.0000,2.3400
1780036903,2.1671,22.8293,0,0.0000,0,0,0.0000,0.0000
1780036908,4.5819,22.2810,3495,3.4600,337522,0,0.0000,0.6500
1780036913,1.0857,22.2746,3494,1.3800,337522,0,0.0000,0.6000
1780036918,1.1018,22.2810,3495,3.4000,337522,0,0.0000,0.5500
1780037003,2.0985,22.2874,0,0.0000,0,0,0.0000,0.0000
<<<<<<< HEAD
1780064620,25.2903,55.2673,0,0.0000,0,0,0.0000,0.0000
1780064625,9.4354,55.2547,8775,692.4000,525777,0,0.0000,0.9400
1780064630,14.3183,55.3366,8788,12.0200,525777,0,0.0000,1.1800
1780064634,12.7919,55.2547,8775,26.2800,525777,0,0.0000,1.0900
1780064640,9.1025,55.2547,8775,2.1600,525779,0,0.0000,1.0800
1780064690,25.2631,55.5003,0,0.0000,0,0,0.0000,0.0000
1780064693,10.1648,55.2736,8778,7.6600,525784,0,0.0000,1.4500
1780064698,10.1781,55.1980,8766,9.4200,525784,0,0.0000,1.3300
=======
1780066869,19.5518,77.8954,0,0.0000,0,0,0.0000,0.0000
1780066874,19.7853,77.1525,7581,100.8800,435994,0,0.0000,2.1500
1780066879,10.3183,77.1219,7578,0.9000,435994,0,0.0000,1.9800
1780066884,6.8240,77.0609,7572,0.0000,435994,0,0.0000,1.8200
1780066889,7.3446,77.1219,7578,12.3400,435995,0,0.0000,1.6700
>>>>>>> cd7770e175a58d7eb134606f32b98257762d94e5
